Päivä;Aika;LUX00 ULKOVALOISUUS;
4.2.2022;6:45:00;4,508893;
4.2.2022;6:50:00;4,522891;
4.2.2022;6:55:00;4,498772;
4.2.2022;7:00:00;4,541918;
4.2.2022;7:05:00;4,656691;
4.2.2022;7:10:00;4,523307;
4.2.2022;7:15:00;4,468799;
4.2.2022;7:20:00;4,510532;
4.2.2022;7:25:00;4,506946;
4.2.2022;7:30:00;4,535154;
4.2.2022;7:35:00;4,609951;
4.2.2022;7:40:00;4,724957;
4.2.2022;7:45:00;5,751988;
4.2.2022;7:50:00;6,730764;
4.2.2022;7:55:00;8,389124;
